Description,Size,Primary Color,Secondary Color,Habitat,Region,Diet,Beak Size,Beak Color,Legs Size,Legs Color,Eyes Size,Eyes Color
"Often spotted in Australia, this bird stands out with its medium legs. Its diet includes, and it typically has a beak.",,,black,,Australia,,,brown,medium,,large,
"This bird can be identified by its patches over its yellow body. Native to South America, it has medium legs and prefers fruits as its primary diet.",giant,yellow,,coastal,South America,fruits,curved,yellow,medium,,,yellow
"A medium bird, mainly white in color, found across Asia. It has distinct brown legs and is known to feed on nectar.",medium,white,yellow,marsh,Asia,nectar,thin,brown,,brown,,gray
"The frame of this bird suits its life in grassland, where it often hunts seeds. Its feathers range from white to white around the wings.",,white,white,grassland,,seeds,,black,short,orange,small,
"This giant bird with orange plumage often appears in the regions of Antarctica, where it feeds on. It has a curved yellow beak.",giant,orange,blue,,Antarctica,,curved,yellow,long,black,,red
"Often spotted in, this bird stands out with its medium legs. Its diet includes insects, and it typically has a beak.",,gray,blue,coastal,,insects,,black,medium,,large,orange
"Known for its green eyes, this large bird is frequently seen in desert areas. Its feathers are primarily, and it sometimes displays a hint of.",large,,,desert,North America,seeds,stout,white,long,white,,green
"With medium orange eyes and a black beak, this bird adapts well to conditions. Its size is generally tiny.",tiny,yellow,blue,,Antarctica,omnivorous,,black,short,yellow,medium,orange
"With green eyes and a black beak, this bird adapts well to wetland conditions. Its size is generally small.",small,orange,,wetland,Australia,small mammals,,black,short,black,,green
"A small bird, mainly red in color, found across Africa. It has distinct medium legs and is known to feed on.",small,red,,desert,Africa,,thin,,medium,,small,red
"This bird can be identified by its orange patches over its brown body. Native to Asia, it has short legs and prefers as its primary diet.",medium,brown,orange,forest,Asia,,,yellow,short,blue,small,
"A medium bird recognized by its long black legs and striking plumage. It thrives in grassland, consuming seeds for sustenance.",medium,,,grassland,Australia,seeds,stout,yellow,long,black,small,yellow
"In the coastal of, you may encounter this bird featuring a stout beak. Its feathers are green, sometimes showing orange hues.",small,green,orange,coastal,,seeds,stout,,,orange,,black
"Often spotted in, this bird stands out with its legs. Its diet includes insects, and it typically has a beak.",small,blue,red,urban,,insects,,,,,,red
"Often spotted in, this bird stands out with its brown legs. Its diet includes fruits, and it typically has a beak.",,orange,blue,grassland,,fruits,,gray,,brown,small,gray
"With medium eyes and a curved beak, this bird adapts well to wetland conditions. Its size is generally.",,,,wetland,,,curved,,,red,medium,
"This bird can be identified by its patches over its brown body. Native to, it has short legs and prefers omnivorous as its primary diet.",,brown,,marsh,,omnivorous,,green,short,blue,medium,
"This small bird with yellow plumage often appears in the marsh regions of North America, where it feeds on. It has a short beak.",small,yellow,purple,marsh,North America,,short,,short,red,,gray
"A large bird, mainly brown in color, found across Australia. It has distinct short gray legs and is known to feed on insects.",large,brown,,mountainous,Australia,insects,stout,orange,short,gray,medium,red
"A bird, mainly yellow in color, found across Australia. It has distinct long white legs and is known to feed on fish.",,yellow,purple,forest,Australia,fish,short,gray,long,white,medium,
"This bird can be identified by its patches over its black body. Native to, it has short legs and prefers omnivorous as its primary diet.",tiny,black,,,,omnivorous,short,,short,red,,orange
"A bird, mainly in color, found across. It has distinct legs and is known to feed on fish.",,,,,,fish,,,,,,
"A truly remarkable species, with a stout green beak and medium yellow eyes. It's considered a bird, thriving in desert habitats.",,black,,desert,Europe,omnivorous,stout,green,long,,medium,yellow
"A truly remarkable species, with a short beak and small brown eyes. It's considered a large bird, thriving in wetland habitats.",large,green,,wetland,,,short,,,blue,small,brown
"This large bird with purple plumage often appears in the regions of, where it feeds on omnivorous. It has a beak.",large,purple,white,,,omnivorous,,,short,green,medium,green
"Often spotted in Australia, this bird stands out with its yellow legs. Its diet includes small mammals, and it typically has a curved beak.",medium,,orange,mountainous,Australia,small mammals,curved,gray,,yellow,medium,
"This bird can be identified by its patches over its body. Native to, it has long legs and prefers small mammals as its primary diet.",large,,,urban,,small mammals,stout,,long,green,,gray
"A bird, mainly red in color, found across Asia. It has distinct medium legs and is known to feed on seeds.",,red,,,Asia,seeds,thin,orange,medium,,,brown
"A truly remarkable species, with a thin red beak and large eyes. It's considered a small bird, thriving in habitats.",small,blue,red,,Europe,,thin,red,,blue,large,
"A truly remarkable species, with a short gray beak and large eyes. It's considered a small bird, thriving in coastal habitats.",small,yellow,,coastal,,insects,short,gray,,gray,large,
"This bird can be identified by its patches over its black body. Native to, it has long legs and prefers omnivorous as its primary diet.",giant,black,,,,omnivorous,stout,,long,yellow,small,
"The tiny frame of this bird suits its life in wetland, where it often hunts small mammals. Its feathers range from blue to purple around the wings.",tiny,blue,purple,wetland,Africa,small mammals,short,,,green,small,brown
"Known for its small yellow eyes, this bird is frequently seen in forest areas. Its feathers are primarily, and it sometimes displays a hint of.",,,,forest,,omnivorous,thin,black,,,small,yellow
"Often spotted in, this bird stands out with its white legs. Its diet includes fruits, and it typically has a beak.",small,,yellow,,,fruits,,gray,,white,,blue
"This bird can be identified by its white patches over its yellow body. Native to, it has legs and prefers fruits as its primary diet.",small,yellow,white,urban,,fruits,short,black,,,,
"This large bird with black plumage often appears in the coastal regions of, where it feeds on. It has a curved white beak.",large,black,green,coastal,,,curved,white,long,,small,red
"The medium frame of this bird suits its life in wetland, where it often hunts. Its feathers range from to around the wings.",medium,,,wetland,Australia,,,,short,green,large,white
"A bird, mainly white in color, found across South America. It has distinct long brown legs and is known to feed on fish.",,white,,,South America,fish,stout,,long,brown,,
"This bird can be identified by its patches over its gray body. Native to, it has medium legs and prefers as its primary diet.",large,gray,,grassland,,,stout,gray,medium,green,,white
"With black eyes and a beak, this bird adapts well to conditions. Its size is generally giant.",giant,white,,,North America,,,,medium,white,,black
"With blue eyes and a green beak, this bird adapts well to conditions. Its size is generally medium.",medium,brown,,,,fish,,green,short,white,,blue
"With eyes and a short beak, this bird adapts well to marsh conditions. Its size is generally.",,white,,marsh,Europe,,short,,,green,,
"The large frame of this bird suits its life in forest, where it often hunts. Its feathers range from white to white around the wings.",large,white,white,forest,Africa,,,yellow,,,,
"Often spotted in, this bird stands out with its legs. Its diet includes insects, and it typically has a thin beak.",,orange,black,,,insects,thin,green,,,large,brown
"Known for its brown eyes, this bird is frequently seen in areas. Its feathers are primarily gray, and it sometimes displays a hint of black.",,gray,black,,,,,,long,,,brown
"A tiny bird recognized by its black legs and striking red plumage. It thrives in mountainous, consuming fruits for sustenance.",tiny,red,brown,mountainous,Africa,fruits,,,,black,,orange
"A tiny bird, mainly orange in color, found across Africa. It has distinct medium yellow legs and is known to feed on small mammals.",tiny,orange,green,,Africa,small mammals,curved,yellow,medium,yellow,medium,
"This bird can be identified by its patches over its red body. Native to, it has short legs and prefers as its primary diet.",small,red,,mountainous,,,stout,,short,yellow,large,
"This bird can be identified by its patches over its yellow body. Native to North America, it has short legs and prefers as its primary diet.",giant,yellow,,coastal,North America,,long,orange,short,,medium,red
